product_module_descr,n
FRESH APPLES,95311
FRESH CARROTS,245696
FRESH CAULIFLOWER,29946
FRESH CELERY,109277
FRESH CRANBERRIES,8252
FRESH FRUIT-REMAINING,495820
FRESH GARLIC,12959
FRESH GRAPEFRUIT,8796
FRESH HERBS,25730
FRESH KIWI,4981
FRESH LETTUCE,229762
FRESH MUSHROOMS,149030
FRESH ONIONS,117407
FRESH ORANGES,38874
FRESH POTATOES,243414
FRESH RADISHES,16720
FRESH SPINACH,60423
FRESH SPROUTS,4816
FRESH STRAWBERRIES,235223
FRESH TOMATOES,171161
FRESH VEGETABLES-REMAINING,231405
RBC FRESH FRUIT,4
RBC FRESH VEGETABLE AND HERB,22
REFERENCE CARD FRUITS,1580274
REFERENCE CARD VEGETABLES,1628448
